Comment,Designator,Footprint,LCSC
bead,L2,L_0805_2012Metric,C1017
Micro_SD_Card_Det_Hirose_DM3AT,J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218
SN65HVD231,U6,SOIC-8_3.9x4.9mm_P1.27mm,C12084
MC-311D,USBC1,USB-C-SMD_MC-311D,C136423
Conn_01x04,"J1,J2",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
100n,"C13,C3,C5,C6,C8",C_0603_1608Metric,C14663
10uF,"C1,C12,C4,C7",C_0805_2012Metric,C15850
D_Schottky,"D1,D2",D_SOD-323,C191023
1k,R15,R_0402_1005Metric,C21190
SS8050_C2150,"Q1,Q2",SOT-23,C2150
B230A,D4,D_SMA,C22452
12k,"R10,R9",R_0402_1005Metric,C22790
75k,R24,R_0402_1005Metric,C23184
5k1,"R12,R8",R_0402_1005Metric,C23186
470,R1,R_0402_1005Metric,C25117
24k,R25,R_0402_1005Metric,C25769
47k,"R16,R17,R18,R19,R20,R21",R_0402_1005Metric,C25792
10k,"R13,R14",R_0402_1005Metric,C25804
Ai-Thinker-Ra-01SH,U2,Ai-Thinker-Ra-01-LoRa,C2764087
LM75B,U3,MSOP-8_3x3mm_P0.65mm,C2837470
CH343G,U5,SOIC-16_3.9x9.9mm_P1.27mm,C2844153
MPM2359,U7,SOT-23-6,C2959845
6.8nH,L1,L_0603_1608Metric,C316305
4.7uH,L3,L_Wuerth_HCI-5040,C354606
10uF,"C10,C9",C_0805_2012Metric,C440198
10n,C11,C_0603_1608Metric,C57112
ESP32-WROOM-32E,U1,ESP32-WROOM-32,C701342
D,D3,D_SOD-123,C8598
Antenna_Shield,AE1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
ATGM336H-5N31,J3,ATGM336H-5N31,C90770
SP0505BAJT,D6,SOT-363_SC-70-6,SMF05CT1G
Battery_Cell,BT1,PinSocket_1x02_P2.00mm_Vertical,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Antenna,AE2,Texas_SWRA416_868MHz_915MHz,
