Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1.9,-41.3,90.0,top
C1,10uF,C_0805_2012Metric,18.1,-41.5,-90.0,top
C3,100n,C_0603_1608Metric,41.7,-22.375,-90.0,top
C4,10u,C_0805_2012Metric,18.2,-8.5,-90.0,top
C5,100n,C_0603_1608Metric,16.4,-8.7,-90.0,top
C6,100n,C_0603_1608Metric,23.4,-29.2,90.0,top
C7,10uF,C_0805_2012Metric,20.9,-27.9,0.0,top
C8,100n,C_0603_1608Metric,12.0,-14.4,0.0,top
C9,10uF,C_0805_2012Metric,1.1,-21.15,90.0,top
C10,10uF,C_0805_2012Metric,14.6,-8.6,90.0,top
C11,10n,C_0603_1608Metric,7.5,-18.0,-90.0,top
C12,10uF,C_0805_2012Metric,8.6,-14.6,0.0,top
C13,100n,C_0603_1608Metric,18.7,-11.8,90.0,top
D1,D_Schottky,D_SOD-323,1.8,-46.3,180.0,top
D2,D_Schottky,D_SOD-323,44.1,-7.7,0.0,top
D3,D,D_SOD-123,14.8,-3.9,90.0,top
D4,B230A,D_SMA,10.6,-19.2,90.0,top
D6,SP0505BAJT,SOT-363_SC-70-6,15.3,-13.2,270.0,top
J1,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3.1,-9.7,180.0,top
J2,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3.1,-2.875,180.0,top
J3,ATGM336H-5N31,ATGM336H-5N31,10.9,-44.0,180.0,top
J4,Micro_SD_Card_Det_Hirose_DM3AT,microSD_HC_Hirose_DM3AT-SF-PEJM5,9.065,-30.87,-90.0,top
L1,6.8nH,L_0603_1608Metric,3.9,-43.8,-90.0,top
L2,bead,L_0805_2012Metric,20.8,-30.0,180.0,top
L3,4.7uH,L_Wuerth_HCI-5040,3.4,-16.5,0.0,top
Q1,SS8050_C2150,SOT-23,48.0,-1.8,180.0,top
Q2,SS8050_C2150,SOT-23,48.0,-5.2,180.0,top
R1,470,R_0402_1005Metric,4.0,-46.3,-90.0,top
R8,5k1,R_0402_1005Metric,42.0,-15.6,-90.0,top
R9,12k,R_0402_1005Metric,46.79,-7.6,180.0,top
R10,12k,R_0402_1005Metric,48.79,-7.6,0.0,top
R12,5k1,R_0402_1005Metric,42.2,-11.0,-90.0,top
R13,10k,R_0402_1005Metric,41.6,-27.0,-90.0,top
R14,10k,R_0402_1005Metric,41.6,-25.0,-90.0,top
R15,1k,R_0402_1005Metric,7.2,-21.6,90.0,top
R16,47k,R_0402_1005Metric,18.5,-34.4,-90.0,top
R17,47k,R_0402_1005Metric,18.5,-32.5,90.0,top
R18,47k,R_0402_1005Metric,18.5,-30.6,-90.0,top
R19,47k,R_0402_1005Metric,18.5,-28.7,-90.0,top
R20,47k,R_0402_1005Metric,18.5,-26.8,-90.0,top
R21,47k,R_0402_1005Metric,18.5,-24.91,-90.0,top
R24,75k,R_0402_1005Metric,8.2,-21.6,-90.0,top
R25,24k,R_0402_1005Metric,7.7,-20.1,0.0,top
U1,ESP32-WROOM-32E,ESP32-WROOM-32,30.0,-16.3,270.0,top
U2,Ai-Thinker-Ra-01SH,Ai-Thinker-Ra-01-LoRa,28.3,-40.5,-90.0,top
U3,LM75B,MSOP-8_3x3mm_P0.65mm,44.2,-3.6,180.0,top
U5,CH343G,SOIC-16_3.9x9.9mm_P1.27mm,46.2,-24.0,270.0,top
U6,SN65HVD231,SOIC-8_3.9x4.9mm_P1.27mm,15.4,-18.9,0.0,top
U7,MPM2359,SOT-23-6,4.6,-21.1,270.0,top
USBC1,MC-311D,USB-C-SMD_MC-311D,45.9025,-13.695,90.0,top
